#frame,KB Frame,In aria (KB),Risparmio (KB)
0,66.56,43.92734305555555,22.63265694444445
1,66.56,43.92734305555555,22.63265694444445
2,66.56,43.86415763888889,22.695842361111115
3,66.56,43.86415763888889,22.695842361111115
4,66.56,43.69318055555556,22.866819444444445
5,66.56,43.69318055555556,22.866819444444445
6,66.56,43.41811319444445,23.141886805555554
7,66.56,43.41811319444445,23.141886805555554
8,66.56,43.23118402777778,23.328815972222223
9,66.56,43.23118402777778,23.328815972222223
10,66.56,43.33318888888889,23.22681111111111
11,66.56,43.33318888888889,23.22681111111111
12,66.56,43.45008055555556,23.109919444444447
13,66.56,43.45008055555556,23.109919444444447
14,66.56,43.36961597222222,23.19038402777778
15,66.56,43.36961597222222,23.19038402777778
16,66.56,43.42876597222222,23.131234027777776
17,66.56,43.42876597222222,23.131234027777776
18,66.56,43.76475277777778,22.795247222222223
19,66.56,43.76475277777778,22.795247222222223
20,66.56,44.20759236111111,22.35240763888889
21,66.56,44.20759236111111,22.35240763888889
22,66.56,44.67696458333333,21.883035416666672
23,66.56,44.67696458333333,21.883035416666672
24,66.56,45.228290972222226,21.33170902777778
25,66.56,45.228290972222226,21.33170902777778
26,66.56,46.10257708333333,20.45742291666667
27,66.56,46.10257708333333,20.45742291666667
28,66.56,47.15345555555556,19.406544444444442
29,66.56,47.15345555555556,19.406544444444442
30,66.56,47.88036319444445,18.679636805555557
31,66.56,47.88036319444445,18.679636805555557
32,66.56,48.40348680555555,18.156513194444447
33,66.56,48.40348680555555,18.156513194444447
34,66.56,48.87113472222222,17.688865277777776
35,66.56,48.87113472222222,17.688865277777776
36,66.56,49.36714791666667,17.19285208333333
37,66.56,49.36714791666667,17.19285208333333
38,66.56,49.80042708333334,16.759572916666663
39,66.56,49.80042708333334,16.759572916666663
40,66.56,50.08114583333333,16.478854166666668
41,66.56,50.08114583333333,16.478854166666668
42,66.56,50.550364583333334,16.00963541666667
43,66.56,50.550364583333334,16.00963541666667
44,66.56,51.118915972222226,15.44108402777778
45,66.56,51.118915972222226,15.44108402777778
46,66.56,51.493893750000005,15.06610625
47,66.56,51.493893750000005,15.06610625
48,66.56,52.013207638888886,14.546792361111113
49,66.56,52.013207638888886,14.546792361111113
50,66.56,52.534345138888895,14.02565486111111
51,66.56,52.534345138888895,14.02565486111111
52,66.56,52.99639583333333,13.563604166666668
53,66.56,52.99639583333333,13.563604166666668
54,66.56,53.143720138888895,13.41627986111111
55,66.56,53.143720138888895,13.41627986111111
56,66.56,53.139612500000005,13.420387499999999
57,66.56,53.139612500000005,13.420387499999999
58,66.56,53.021150000000006,13.538849999999998
59,66.56,53.021150000000006,13.538849999999998
60,66.56,53.366552777777784,13.193447222222222
61,66.56,53.366552777777784,13.193447222222222
62,66.56,54.072091666666665,12.487908333333333
63,66.56,54.072091666666665,12.487908333333333
64,66.56,54.621630555555555,11.938369444444445
65,66.56,54.621630555555555,11.938369444444445
66,66.56,54.98832083333333,11.57167916666667
67,66.56,54.98832083333333,11.57167916666667
68,66.56,55.08082847222222,11.47917152777778
69,66.56,55.08082847222222,11.47917152777778
70,66.56,55.550534722222224,11.009465277777776
71,66.56,55.550534722222224,11.009465277777776
72,66.56,55.6334638888889,10.926536111111108
73,66.56,55.6334638888889,10.926536111111108
74,66.56,55.860810416666666,10.699189583333338
75,66.56,55.860810416666666,10.699189583333338
76,66.56,56.10396458333334,10.456035416666666
77,66.56,56.10396458333334,10.456035416666666
78,66.56,56.39462291666667,10.16537708333333
79,66.56,56.39462291666667,10.16537708333333
80,66.56,56.75094027777778,9.809059722222221
81,66.56,56.75094027777778,9.809059722222221
82,66.56,57.00390763888889,9.556092361111114
83,66.56,57.00390763888889,9.556092361111114
84,66.56,57.140597222222226,9.419402777777778
85,66.56,57.140597222222226,9.419402777777778
86,66.56,57.12079930555556,9.439200694444443
87,66.56,57.12079930555556,9.439200694444443
88,66.56,57.129520138888886,9.430479861111115
89,66.56,57.129520138888886,9.430479861111115
90,66.56,57.240128472222224,9.319871527777778
91,66.56,57.240128472222224,9.319871527777778
92,66.56,57.34192569444445,9.218074305555556
93,66.56,57.34192569444445,9.218074305555556
