#frame,KB Frame,In aria (KB),Risparmio (KB)
0,87.04,55.56347291666667,31.476527083333337
1,87.04,55.56347291666667,31.476527083333337
2,87.04,57.05307430555556,29.986925694444444
3,87.04,57.05307430555556,29.986925694444444
4,87.04,56.67869652777778,30.361303472222225
5,87.04,56.67869652777778,30.361303472222225
6,87.04,56.09135833333333,30.94864166666667
7,87.04,56.09135833333333,30.94864166666667
8,87.04,56.08819444444445,30.95180555555556
9,87.04,56.08819444444445,30.95180555555556
10,87.04,57.25863263888889,29.781367361111112
11,87.04,57.25863263888889,29.781367361111112
12,87.04,58.07704097222223,28.96295902777778
13,87.04,58.07704097222223,28.96295902777778
14,87.04,58.581740277777776,28.458259722222227
15,87.04,58.581740277777776,28.458259722222227
16,87.04,58.98341250000001,28.0565875
17,87.04,58.98341250000001,28.0565875
18,87.04,59.54940625,27.490593750000006
19,87.04,59.54940625,27.490593750000006
20,87.04,59.97673194444445,27.063268055555554
21,87.04,59.97673194444445,27.063268055555554
22,87.04,59.747350000000004,27.292650000000005
23,87.04,59.747350000000004,27.292650000000005
24,87.04,59.54240555555556,27.49759444444444
25,87.04,59.54240555555556,27.49759444444444
26,87.04,59.55774097222222,27.482259027777783
27,87.04,59.55774097222222,27.482259027777783
28,87.04,59.566677777777784,27.47332222222222
29,87.04,59.566677777777784,27.47332222222222
30,87.04,59.91981736111112,27.12018263888889
31,87.04,59.91981736111112,27.12018263888889
32,87.04,60.667569444444446,26.37243055555556
33,87.04,60.667569444444446,26.37243055555556
34,87.04,61.45289861111112,25.587101388888886
35,87.04,61.45289861111112,25.587101388888886
36,87.04,62.269937500000005,24.770062500000005
37,87.04,62.269937500000005,24.770062500000005
38,87.04,62.648825,24.391175000000004
39,87.04,62.648825,24.391175000000004
40,87.04,62.63569722222223,24.404302777777776
41,87.04,62.63569722222223,24.404302777777776
42,87.04,62.55171250000001,24.4882875
43,87.04,62.55171250000001,24.4882875
44,87.04,62.46170694444445,24.57829305555555
45,87.04,62.46170694444445,24.57829305555555
46,87.04,62.76222916666668,24.27777083333333
47,87.04,62.76222916666668,24.27777083333333
48,87.04,63.003499305555565,24.03650069444444
49,87.04,63.003499305555565,24.03650069444444
50,87.04,63.23566736111112,23.804332638888887
51,87.04,63.23566736111112,23.804332638888887
52,87.04,64.17889583333334,22.861104166666667
53,87.04,64.17889583333334,22.861104166666667
54,87.04,65.0357076388889,22.004292361111112
55,87.04,65.0357076388889,22.004292361111112
56,87.04,65.90869305555556,21.13130694444445
57,87.04,65.90869305555556,21.13130694444445
58,87.04,67.25578958333334,19.784210416666664
59,87.04,67.25578958333334,19.784210416666664
60,87.04,68.00164097222223,19.03835902777778
61,87.04,68.00164097222223,19.03835902777778
62,87.04,68.1379951388889,18.902004861111116
63,87.04,68.1379951388889,18.902004861111116
64,87.04,68.16619861111111,18.873801388888896
65,87.04,68.16619861111111,18.873801388888896
66,87.04,68.34371875000001,18.69628125
67,87.04,68.34371875000001,18.69628125
68,87.04,68.75628750000001,18.283712499999996
69,87.04,68.75628750000001,18.283712499999996
70,87.04,69.0744,17.965600000000002
71,87.04,69.0744,17.965600000000002
72,87.04,69.16760486111112,17.872395138888894
73,87.04,69.16760486111112,17.872395138888894
74,87.04,69.382525,17.657475
75,87.04,69.382525,17.657475
76,87.04,69.99359236111111,17.046407638888887
77,87.04,69.99359236111111,17.046407638888887
78,87.04,70.69438194444444,16.345618055555562
79,87.04,70.69438194444444,16.345618055555562
80,87.04,71.31180069444446,15.728199305555554
81,87.04,71.31180069444446,15.728199305555554
82,87.04,71.64430416666667,15.39569583333334
83,87.04,71.64430416666667,15.39569583333334
84,87.04,71.70466597222223,15.335334027777774
85,87.04,71.70466597222223,15.335334027777774
86,87.04,71.61340902777778,15.426590972222225
87,87.04,71.61340902777778,15.426590972222225
88,87.04,71.63961736111112,15.400382638888887
89,87.04,71.63961736111112,15.400382638888887
90,87.04,71.59479166666667,15.445208333333337
91,87.04,71.59479166666667,15.445208333333337
92,87.04,71.66831666666667,15.371683333333337
93,87.04,71.66831666666667,15.371683333333337
94,87.04,71.34306180555556,15.696938194444446
