#frame,KB Frame,In aria (KB),Risparmio (KB)
0,64.85333333333334,42.2852212962963,22.568112037037043
1,64.85333333333334,42.2852212962963,22.568112037037043
2,64.85333333333334,41.78829212962963,23.065041203703704
3,64.85333333333334,41.78829212962963,23.065041203703704
4,64.85333333333334,41.26595925925926,23.587374074074074
5,64.85333333333334,41.26595925925926,23.587374074074074
6,64.85333333333334,41.47444907407408,23.378884259259262
7,64.85333333333334,41.47444907407408,23.378884259259262
8,64.85333333333334,42.04423796296297,22.809095370370372
9,64.85333333333334,42.04423796296297,22.809095370370372
10,64.85333333333334,42.26973101851853,22.583602314814815
11,64.85333333333334,42.26973101851853,22.583602314814815
12,64.85333333333334,42.5505087962963,22.30282453703704
13,64.85333333333334,42.5505087962963,22.30282453703704
14,64.85333333333334,43.07388842592593,21.77944490740741
15,64.85333333333334,43.07388842592593,21.77944490740741
16,64.85333333333334,44.308712500000006,20.544620833333333
17,64.85333333333334,44.308712500000006,20.544620833333333
18,64.85333333333334,46.063380092592595,18.789953240740743
19,64.85333333333334,46.063380092592595,18.789953240740743
20,64.85333333333334,48.8316800925926,16.02165324074074
21,64.85333333333334,48.8316800925926,16.02165324074074
22,64.85333333333334,51.40208981481482,13.451243518518517
23,64.85333333333334,51.40208981481482,13.451243518518517
24,64.85333333333334,52.74597037037037,12.107362962962965
25,64.85333333333334,52.74597037037037,12.107362962962965
26,64.85333333333334,53.32219814814815,11.531135185185185
27,64.85333333333334,53.32219814814815,11.531135185185185
28,64.85333333333334,53.89522407407407,10.958109259259263
29,64.85333333333334,53.89522407407407,10.958109259259263
30,64.85333333333334,53.925078703703704,10.928254629629633
31,64.85333333333334,53.925078703703704,10.928254629629633
32,64.85333333333334,54.29271111111112,10.560622222222223
33,64.85333333333334,54.29271111111112,10.560622222222223
34,64.85333333333334,55.132379166666674,9.720954166666667
35,64.85333333333334,55.132379166666674,9.720954166666667
36,64.85333333333334,56.02547592592593,8.827857407407409
37,64.85333333333334,56.02547592592593,8.827857407407409
38,64.85333333333334,56.62637731481482,8.226956018518518
39,64.85333333333334,56.62637731481482,8.226956018518518
40,64.85333333333334,57.09513194444445,7.758201388888891
41,64.85333333333334,57.09513194444445,7.758201388888891
42,64.85333333333334,57.2365675925926,7.616765740740739
43,64.85333333333334,57.2365675925926,7.616765740740739
44,64.85333333333334,57.093575,7.759758333333337
45,64.85333333333334,57.093575,7.759758333333337
46,64.85333333333334,56.23626157407408,8.617071759259263
47,64.85333333333334,56.23626157407408,8.617071759259263
48,64.85333333333334,56.35913703703704,8.4941962962963
49,64.85333333333334,56.35913703703704,8.4941962962963
50,64.85333333333334,56.8734300925926,7.979903240740739
51,64.85333333333334,56.8734300925926,7.979903240740739
52,64.85333333333334,57.80827407407408,7.045059259259258
53,64.85333333333334,57.80827407407408,7.045059259259258
54,64.85333333333334,58.84528703703704,6.0080462962963
55,64.85333333333334,58.84528703703704,6.0080462962963
56,64.85333333333334,59.944050000000004,4.909283333333333
57,64.85333333333334,59.944050000000004,4.909283333333333
58,64.85333333333334,60.447330092592594,4.406003240740741
59,64.85333333333334,60.447330092592594,4.406003240740741
60,64.85333333333334,61.14256296296297,3.71077037037037
61,64.85333333333334,61.14256296296297,3.71077037037037
62,64.85333333333334,61.74516203703704,3.108171296296298
63,64.85333333333334,61.74516203703704,3.108171296296298
64,64.85333333333334,61.728158796296306,3.1251745370370347
65,64.85333333333334,61.728158796296306,3.1251745370370347
66,64.85333333333334,61.46673287037037,3.3866004629629654
67,64.85333333333334,61.46673287037037,3.3866004629629654
68,64.85333333333334,61.51648472222222,3.336848611111113
69,64.85333333333334,61.51648472222222,3.336848611111113
70,64.85333333333334,61.48707870370371,3.366254629629627
71,64.85333333333334,61.48707870370371,3.366254629629627
72,64.85333333333334,61.5341388888889,3.319194444444443
73,64.85333333333334,61.5341388888889,3.319194444444443
74,64.85333333333334,61.76110092592593,3.0922324074074092
75,64.85333333333334,61.76110092592593,3.0922324074074092
76,64.85333333333334,61.87133611111112,2.9819972222222213
77,64.85333333333334,61.87133611111112,2.9819972222222213
78,64.85333333333334,61.68006064814815,3.173272685185187
79,64.85333333333334,61.68006064814815,3.173272685185187
80,64.85333333333334,61.91029490740741,2.9430384259259275
81,64.85333333333334,61.91029490740741,2.9430384259259275
82,64.85333333333334,62.09441018518519,2.758923148148146
83,64.85333333333334,62.09441018518519,2.758923148148146
