#frame,KB Frame,In aria (KB),Risparmio (KB)
0,71.68,47.7196513888889,23.96034861111111
1,71.68,47.7196513888889,23.96034861111111
2,71.68,47.278534722222226,24.40146527777778
3,71.68,47.278534722222226,24.40146527777778
4,71.68,46.829543055555554,24.85045694444445
5,71.68,46.829543055555554,24.85045694444445
6,71.68,46.24148472222223,25.43851527777778
7,71.68,46.24148472222223,25.43851527777778
8,71.68,45.90132361111111,25.778676388888893
9,71.68,45.90132361111111,25.778676388888893
10,71.68,45.998575,25.681425000000008
11,71.68,45.998575,25.681425000000008
12,71.68,46.16654583333334,25.513454166666673
13,71.68,46.16654583333334,25.513454166666673
14,71.68,46.30845138888889,25.371548611111116
15,71.68,46.30845138888889,25.371548611111116
16,71.68,46.39510555555556,25.284894444444447
17,71.68,46.39510555555556,25.284894444444447
18,71.68,46.6734625,25.006537500000004
19,71.68,46.6734625,25.006537500000004
20,71.68,47.30856666666667,24.371433333333332
21,71.68,47.30856666666667,24.371433333333332
22,71.68,48.086218055555555,23.59378194444445
23,71.68,48.086218055555555,23.59378194444445
24,71.68,48.9127625,22.767237500000004
25,71.68,48.9127625,22.767237500000004
26,71.68,49.84002916666667,21.839970833333336
27,71.68,49.84002916666667,21.839970833333336
28,71.68,50.616513888888896,21.06348611111111
29,71.68,50.616513888888896,21.06348611111111
30,71.68,51.36058472222223,20.31941527777778
31,71.68,51.36058472222223,20.31941527777778
32,71.68,51.75513194444445,19.924868055555557
33,71.68,51.75513194444445,19.924868055555557
34,71.68,52.30572083333334,19.374279166666664
35,71.68,52.30572083333334,19.374279166666664
36,71.68,53.26193055555556,18.41806944444445
37,71.68,53.26193055555556,18.41806944444445
38,71.68,55.0667638888889,16.61323611111111
39,71.68,55.0667638888889,16.61323611111111
40,71.68,56.62363194444445,15.05636805555556
41,71.68,56.62363194444445,15.05636805555556
42,71.68,58.278538888888896,13.401461111111113
43,71.68,58.278538888888896,13.401461111111113
44,71.68,59.481994444444446,12.198005555555559
45,71.68,59.481994444444446,12.198005555555559
46,71.68,60.0935513888889,11.586448611111111
47,71.68,60.0935513888889,11.586448611111111
48,71.68,60.588305555555564,11.091694444444446
49,71.68,60.588305555555564,11.091694444444446
50,71.68,61.05738333333334,10.622616666666667
51,71.68,61.05738333333334,10.622616666666667
52,71.68,61.34990555555556,10.330094444444446
53,71.68,61.34990555555556,10.330094444444446
54,71.68,61.58855694444445,10.091443055555558
55,71.68,61.58855694444445,10.091443055555558
56,71.68,62.07123611111112,9.608763888888888
57,71.68,62.07123611111112,9.608763888888888
58,71.68,62.53134027777779,9.148659722222224
59,71.68,62.53134027777779,9.148659722222224
60,71.68,62.579591666666666,9.100408333333338
61,71.68,62.579591666666666,9.100408333333338
62,71.68,62.48269027777778,9.197309722222228
63,71.68,62.48269027777778,9.197309722222228
64,71.68,62.73082083333334,8.949179166666667
65,71.68,62.73082083333334,8.949179166666667
66,71.68,62.74154444444445,8.938455555555555
67,71.68,62.74154444444445,8.938455555555555
68,71.68,62.24348472222223,9.436515277777783
69,71.68,62.24348472222223,9.436515277777783
70,71.68,61.3196888888889,10.360311111111109
71,71.68,61.3196888888889,10.360311111111109
72,71.68,60.16388194444445,11.516118055555557
73,71.68,60.16388194444445,11.516118055555557
74,71.68,58.77635555555556,12.903644444444446
75,71.68,58.77635555555556,12.903644444444446
76,71.68,58.07392500000001,13.606074999999997
77,71.68,58.07392500000001,13.606074999999997
78,71.68,59.51003333333334,12.169966666666669
79,71.68,59.51003333333334,12.169966666666669
80,71.68,60.58545694444445,11.094543055555553
81,71.68,60.58545694444445,11.094543055555553
82,71.68,60.9251513888889,10.754848611111111
83,71.68,60.9251513888889,10.754848611111111
84,71.68,61.04490972222223,10.63509027777778
85,71.68,61.04490972222223,10.63509027777778
86,71.68,61.03069583333334,10.649304166666669
87,71.68,61.03069583333334,10.649304166666669
88,71.68,60.93609861111111,10.743901388888892
89,71.68,60.93609861111111,10.743901388888892
90,71.68,60.70375694444445,10.976243055555559
91,71.68,60.70375694444445,10.976243055555559
92,71.68,60.467487500000004,11.212512500000004
93,71.68,60.467487500000004,11.212512500000004
94,71.68,60.025690277777784,11.654309722222221
95,71.68,60.025690277777784,11.654309722222221
96,71.68,59.36824444444445,12.311755555555559
97,71.68,59.36824444444445,12.311755555555559
98,71.68,58.49765833333334,13.182341666666668
99,71.68,58.49765833333334,13.182341666666668
100,71.68,58.270187500000006,13.409812500000003
101,71.68,58.270187500000006,13.409812500000003
102,71.68,57.63119444444445,14.048805555555555
103,71.68,57.63119444444445,14.048805555555555
104,71.68,57.7927,13.8873
105,71.68,57.7927,13.8873
106,71.68,58.15664166666667,13.523358333333334
107,71.68,58.15664166666667,13.523358333333334
108,71.68,58.46025694444445,13.219743055555554
109,71.68,58.46025694444445,13.219743055555554
110,71.68,58.63899027777778,13.041009722222224
111,71.68,58.63899027777778,13.041009722222224
112,71.68,58.74160833333334,12.938391666666666
113,71.68,58.74160833333334,12.938391666666666
114,71.68,58.766847222222225,12.913152777777782
115,71.68,58.766847222222225,12.913152777777782
116,71.68,59.89913611111111,11.780863888888893
117,71.68,59.89913611111111,11.780863888888893
118,71.68,60.55732083333334,11.122679166666664
119,71.68,60.55732083333334,11.122679166666664
120,71.68,61.2400638888889,10.439936111111113
121,71.68,61.2400638888889,10.439936111111113
122,71.68,61.83491805555556,9.845081944444443
123,71.68,61.83491805555556,9.845081944444443
124,71.68,62.15862916666667,9.521370833333336
125,71.68,62.15862916666667,9.521370833333336
126,71.68,62.413856944444454,9.266143055555553
127,71.68,62.413856944444454,9.266143055555553
128,71.68,62.683804166666675,8.996195833333331
129,71.68,62.683804166666675,8.996195833333331
130,71.68,63.039841666666675,8.640158333333334
131,71.68,63.039841666666675,8.640158333333334
132,71.68,63.31500972222222,8.364990277777782
133,71.68,63.31500972222222,8.364990277777782
134,71.68,63.42296527777778,8.257034722222226
135,71.68,63.42296527777778,8.257034722222226
136,71.68,63.151277777777786,8.52872222222222
137,71.68,63.151277777777786,8.52872222222222
138,71.68,62.843763888888894,8.836236111111115
139,71.68,62.843763888888894,8.836236111111115
140,71.68,63.759150000000005,7.920849999999999
141,71.68,63.759150000000005,7.920849999999999
142,71.68,64.05324722222223,7.626752777777774
143,71.68,64.05324722222223,7.626752777777774
144,71.68,64.6002,7.0798
145,71.68,64.6002,7.0798
146,71.68,64.81406944444446,6.865930555555558
147,71.68,64.81406944444446,6.865930555555558
148,71.68,64.83620694444444,6.84379305555556
149,71.68,64.83620694444444,6.84379305555556
150,71.68,64.39253333333333,7.287466666666669
151,71.68,64.39253333333333,7.287466666666669
152,71.68,64.22622500000001,7.453774999999998
153,71.68,64.22622500000001,7.453774999999998
154,71.68,64.02803750000001,7.651962500000002
155,71.68,64.02803750000001,7.651962500000002
156,71.68,64.22997777777779,7.4500222222222225
157,71.68,64.22997777777779,7.4500222222222225
158,71.68,64.51347777777778,7.166522222222225
159,71.68,64.51347777777778,7.166522222222225
160,71.68,64.853775,6.8262250000000035
161,71.68,64.853775,6.8262250000000035
162,71.68,65.16906666666668,6.510933333333333
163,71.68,65.16906666666668,6.510933333333333
164,71.68,65.28450833333335,6.395491666666664
165,71.68,65.28450833333335,6.395491666666664
166,71.68,65.28170833333334,6.39829166666667
167,71.68,65.28170833333334,6.39829166666667
168,71.68,65.33746527777778,6.342534722222225
169,71.68,65.33746527777778,6.342534722222225
170,71.68,67.21205555555557,4.467944444444445
171,71.68,67.21205555555557,4.467944444444445
172,71.68,67.58204444444445,4.097955555555556
173,71.68,67.58204444444445,4.097955555555556
174,71.68,68.21529166666667,3.46470833333333
175,71.68,68.21529166666667,3.46470833333333
176,71.68,68.78725,2.8927500000000035
177,71.68,68.78725,2.8927500000000035
178,71.68,68.82463194444445,2.855368055555554
179,71.68,68.82463194444445,2.855368055555554
180,71.68,69.24263888888889,2.4373611111111124
181,71.68,69.24263888888889,2.4373611111111124
182,71.68,69.43612083333333,2.2438791666666695
183,71.68,69.43612083333333,2.2438791666666695
184,71.68,69.3007,2.379300000000001
185,71.68,69.3007,2.379300000000001
186,71.68,68.99464444444445,2.6853555555555593
187,71.68,68.99464444444445,2.6853555555555593
188,71.68,68.78655972222224,2.893440277777776
189,71.68,68.78655972222224,2.893440277777776
190,71.68,68.63901527777779,3.040984722222219
191,71.68,68.63901527777779,3.040984722222219
192,71.68,68.11233333333334,3.567666666666669
193,71.68,68.11233333333334,3.567666666666669
194,71.68,66.87053333333334,4.80946666666667
195,71.68,66.87053333333334,4.80946666666667
196,71.68,65.33380000000001,6.346199999999999
197,71.68,65.33380000000001,6.346199999999999
198,71.68,63.756175000000006,7.923825
199,71.68,63.756175000000006,7.923825
200,71.68,62.503311111111124,9.176688888888886
201,71.68,62.503311111111124,9.176688888888886
202,71.68,62.1391263888889,9.540873611111111
203,71.68,62.1391263888889,9.540873611111111
204,71.68,61.86775000000001,9.812249999999997
205,71.68,61.86775000000001,9.812249999999997
206,71.68,61.783526388888895,9.896473611111116
207,71.68,61.783526388888895,9.896473611111116
208,71.68,61.881400000000006,9.798600000000002
209,71.68,61.881400000000006,9.798600000000002
210,71.68,61.85853333333334,9.821466666666664
211,71.68,61.85853333333334,9.821466666666664
212,71.68,61.71947638888889,9.960523611111112
213,71.68,61.71947638888889,9.960523611111112
214,71.68,61.84194722222223,9.838052777777778
215,71.68,61.84194722222223,9.838052777777778
216,71.68,62.21629166666667,9.463708333333333
217,71.68,62.21629166666667,9.463708333333333
218,71.68,62.97332222222223,8.706677777777776
219,71.68,62.97332222222223,8.706677777777776
220,71.68,64.04650000000001,7.633499999999998
221,71.68,64.04650000000001,7.633499999999998
222,71.68,65.18161805555556,6.498381944444447
223,71.68,65.18161805555556,6.498381944444447
224,71.68,66.36995555555556,5.3100444444444435
225,71.68,66.36995555555556,5.3100444444444435
226,71.68,67.33405,4.345950000000003
227,71.68,67.33405,4.345950000000003
228,71.68,68.07679861111112,3.6032013888888916
229,71.68,68.07679861111112,3.6032013888888916
230,71.68,68.64130972222223,3.0386902777777793
231,71.68,68.64130972222223,3.0386902777777793
232,71.68,69.00225694444445,2.677743055555552
233,71.68,69.00225694444445,2.677743055555552
234,71.68,69.29796805555557,2.382031944444442
235,71.68,69.29796805555557,2.382031944444442
236,71.68,69.42810972222223,2.2518902777777785
237,71.68,69.42810972222223,2.2518902777777785
238,71.68,69.45446666666668,2.2255333333333307
239,71.68,69.45446666666668,2.2255333333333307
240,71.68,69.4687388888889,2.211261111111111
241,71.68,69.4687388888889,2.211261111111111
242,71.68,69.43113333333334,2.248866666666667
243,71.68,69.43113333333334,2.248866666666667
244,71.68,69.31849166666667,2.3615083333333304
245,71.68,69.31849166666667,2.3615083333333304
246,71.68,68.92529583333334,2.7547041666666705
247,71.68,68.92529583333334,2.7547041666666705
248,71.68,68.79215972222222,2.887840277777781
249,71.68,68.79215972222222,2.887840277777781
250,71.68,68.56927777777778,3.110722222222221
251,71.68,68.56927777777778,3.110722222222221
252,71.68,67.88352083333334,3.796479166666666
253,71.68,67.88352083333334,3.796479166666666
254,71.68,66.76211111111111,4.917888888888892
255,71.68,66.76211111111111,4.917888888888892
256,71.68,65.58187222222223,6.098127777777776
257,71.68,65.58187222222223,6.098127777777776
258,71.68,64.48843333333333,7.191566666666668
259,71.68,64.48843333333333,7.191566666666668
260,71.68,63.110979166666674,8.569020833333333
261,71.68,63.110979166666674,8.569020833333333
262,71.68,63.33685555555556,8.343144444444446
263,71.68,63.33685555555556,8.343144444444446
264,71.68,64.55742222222223,7.122577777777776
265,71.68,64.55742222222223,7.122577777777776
266,71.68,65.8311013888889,5.848898611111116
267,71.68,65.8311013888889,5.848898611111116
268,71.68,66.82849444444444,4.851505555555555
269,71.68,66.82849444444444,4.851505555555555
270,71.68,67.50971111111112,4.170288888888887
271,71.68,67.50971111111112,4.170288888888887
272,71.68,67.87864027777778,3.8013597222222235
273,71.68,67.87864027777778,3.8013597222222235
274,71.68,67.90031111111111,3.779688888888892
275,71.68,67.90031111111111,3.779688888888892
276,71.68,67.76510416666667,3.9148958333333366
277,71.68,67.76510416666667,3.9148958333333366
278,71.68,67.4866013888889,4.193398611111109
279,71.68,67.4866013888889,4.193398611111109
280,71.68,67.3109013888889,4.3690986111111085
281,71.68,67.3109013888889,4.3690986111111085
282,71.68,67.11064305555556,4.569356944444446
283,71.68,67.11064305555556,4.569356944444446
284,71.68,66.802225,4.877775000000001
285,71.68,66.802225,4.877775000000001
286,71.68,66.60894722222223,5.071052777777775
287,71.68,66.60894722222223,5.071052777777775
288,71.68,66.74356111111112,4.93643888888889
289,71.68,66.74356111111112,4.93643888888889
290,71.68,67.06239166666667,4.617608333333332
291,71.68,67.06239166666667,4.617608333333332
292,71.68,67.41230416666667,4.267695833333334
293,71.68,67.41230416666667,4.267695833333334
294,71.68,67.46021527777779,4.219784722222221
295,71.68,67.46021527777779,4.219784722222221
296,71.68,67.18279166666667,4.49720833333333
297,71.68,67.18279166666667,4.49720833333333
298,71.68,66.6250375,5.054962500000001
299,71.68,66.6250375,5.054962500000001
300,71.68,66.22530833333334,5.454691666666668
301,71.68,66.22530833333334,5.454691666666668
302,71.68,65.07808611111112,6.601913888888892
303,71.68,65.07808611111112,6.601913888888892
304,71.68,63.4519375,8.228062500000004
305,71.68,63.4519375,8.228062500000004
306,71.68,62.13306944444445,9.546930555555555
307,71.68,62.13306944444445,9.546930555555555
308,71.68,61.06587083333334,10.614129166666665
309,71.68,61.06587083333334,10.614129166666665
310,71.68,61.08139722222223,10.598602777777778
311,71.68,61.08139722222223,10.598602777777778
312,71.68,61.041963888888894,10.638036111111115
313,71.68,61.041963888888894,10.638036111111115
314,71.68,60.90824444444445,10.77175555555556
315,71.68,60.90824444444445,10.77175555555556
316,71.68,60.217470833333344,11.462529166666666
317,71.68,60.217470833333344,11.462529166666666
318,71.68,59.43631944444445,12.243680555555553
319,71.68,59.43631944444445,12.243680555555553
320,71.68,58.86615000000001,12.813849999999997
321,71.68,58.86615000000001,12.813849999999997
322,71.68,58.65771527777778,13.022284722222222
323,71.68,58.65771527777778,13.022284722222222
324,71.68,58.628645833333344,13.051354166666664
325,71.68,58.628645833333344,13.051354166666664
326,71.68,58.69339583333334,12.986604166666668
327,71.68,58.69339583333334,12.986604166666668
328,71.68,58.77219444444445,12.907805555555559
329,71.68,58.77219444444445,12.907805555555559
330,71.68,58.82361527777778,12.856384722222222
331,71.68,58.82361527777778,12.856384722222222
332,71.68,58.81707222222223,12.862927777777776
333,71.68,58.81707222222223,12.862927777777776
334,71.68,58.8336388888889,12.846361111111108
335,71.68,58.8336388888889,12.846361111111108
336,71.68,58.91656944444445,12.763430555555558
337,71.68,58.91656944444445,12.763430555555558
338,71.68,59.00593611111111,12.674063888888893
339,71.68,59.00593611111111,12.674063888888893
340,71.68,59.35655833333334,12.32344166666667
341,71.68,59.35655833333334,12.32344166666667
342,71.68,60.530905555555556,11.149094444444449
343,71.68,60.530905555555556,11.149094444444449
344,71.68,62.113061111111115,9.56693888888889
345,71.68,62.113061111111115,9.56693888888889
346,71.68,62.90044444444445,8.779555555555556
347,71.68,62.90044444444445,8.779555555555556
348,71.68,62.643301388888894,9.036698611111113
349,71.68,62.643301388888894,9.036698611111113
350,71.68,62.34372083333334,9.336279166666666
351,71.68,62.34372083333334,9.336279166666666
352,71.68,60.270340277777784,11.409659722222221
353,71.68,60.270340277777784,11.409659722222221
354,71.68,60.19182361111112,11.488176388888887
355,71.68,60.19182361111112,11.488176388888887
356,71.68,60.03054166666667,11.649458333333335
357,71.68,60.03054166666667,11.649458333333335
358,71.68,60.026876388888894,11.65312361111111
359,71.68,60.026876388888894,11.65312361111111
360,71.68,60.18064305555556,11.499356944444447
361,71.68,60.18064305555556,11.499356944444447
362,71.68,60.524236111111115,11.15576388888889
363,71.68,60.524236111111115,11.15576388888889
364,71.68,60.992273611111116,10.68772638888889
365,71.68,60.992273611111116,10.68772638888889
366,71.68,61.31439027777778,10.365609722222223
